,ID,Timestamp,Date,Time,Hour,Incident,Borough,Station
82,000804-02012017,2017-01-02 16:50:59+00:00,2017-01-02,16:50:59,16,Firefighting,BARKING AND DAGENHAM,Dagenham
83,003295-08012017,2017-01-08 07:25:43+00:00,2017-01-08,07:25:43,7,Firefighting,BARKING AND DAGENHAM,Barking
84,006113-15012017,2017-01-15 12:04:47+00:00,2017-01-15,12:04:47,12,Firefighting,BARKING AND DAGENHAM,Dagenham
85,039392-02042017,2017-04-02 01:12:31+00:00,2017-04-02,01:12:31,1,Firefighting,BARKING AND DAGENHAM,Dagenham
86,041881-07042017,2017-04-07 10:38:31+00:00,2017-04-07,10:38:31,10,Firefighting,BARKING AND DAGENHAM,Ilford
87,053362-29042017,2017-04-29 08:28:51+00:00,2017-04-29,08:28:51,8,Firefighting,BARKING AND DAGENHAM,Barking
88,005718-14012017,2017-01-14 11:29:28+00:00,2017-01-14,11:29:28,11,Firefighting,BARKING AND DAGENHAM,Dagenham
89,008309-20012017,2017-01-20 15:23:09+00:00,2017-01-20,15:23:09,15,Firefighting,BARKING AND DAGENHAM,Dagenham
90,011109-26012017,2017-01-26 17:49:52+00:00,2017-01-26,17:49:52,17,Firefighting,BARKING AND DAGENHAM,Dagenham
91,028166-08032017,2017-03-08 01:30:24+00:00,2017-03-08,01:30:24,1,Firefighting,BARKING AND DAGENHAM,Dagenham
92,038269-30032017,2017-03-30 21:09:13+00:00,2017-03-30,21:09:13,21,Firefighting,BARKING AND DAGENHAM,Romford
93,005472-13012017,2017-01-13 18:10:37+00:00,2017-01-13,18:10:37,18,Firefighting,BARKING AND DAGENHAM,Dagenham
94,007216-18012017,2017-01-18 01:27:25+00:00,2017-01-18,01:27:25,1,Firefighting,BARKING AND DAGENHAM,Dagenham
95,024535-27022017,2017-02-27 03:06:40+00:00,2017-02-27,03:06:40,3,Firefighting,BARKING AND DAGENHAM,Dagenham
96,025528-01032017,2017-03-01 19:48:36+00:00,2017-03-01,19:48:36,19,Firefighting,BARKING AND DAGENHAM,Dagenham
97,035383-24032017,2017-03-24 18:10:47+00:00,2017-03-24,18:10:47,18,Firefighting,BARKING AND DAGENHAM,Dagenham
98,043305-09042017,2017-04-09 17:22:56+00:00,2017-04-09,17:22:56,17,Firefighting,BARKING AND DAGENHAM,Dagenham
99,053917-30042017,2017-04-30 11:16:48+00:00,2017-04-30,11:16:48,11,Firefighting,BARKING AND DAGENHAM,Dagenham
100,009446-22012017,2017-01-22 21:01:47+00:00,2017-01-22,21:01:47,21,Firefighting,BARKING AND DAGENHAM,Barking
101,016962-09022017,2017-02-09 22:38:41+00:00,2017-02-09,22:38:41,22,Firefighting,BARKING AND DAGENHAM,Barking
102,039272-01042017,2017-04-01 20:15:26+00:00,2017-04-01,20:15:26,20,Firefighting,BARKING AND DAGENHAM,Barking
103,040343-03042017,2017-04-03 22:55:23+00:00,2017-04-03,22:55:23,22,Firefighting,BARKING AND DAGENHAM,Barking
104,041694-06042017,2017-04-06 22:17:00+00:00,2017-04-06,22:17:00,22,Firefighting,BARKING AND DAGENHAM,Barking
105,042786-08042017,2017-04-08 19:55:44+00:00,2017-04-08,19:55:44,19,Firefighting,BARKING AND DAGENHAM,Barking
106,048467-19042017,2017-04-19 14:25:28+00:00,2017-04-19,14:25:28,14,Firefighting,BARKING AND DAGENHAM,Barking
107,009425-22012017,2017-01-22 20:01:39+00:00,2017-01-22,20:01:39,20,Firefighting,BARKING AND DAGENHAM,Barking
108,014649-04022017,2017-02-04 11:49:14+00:00,2017-02-04,11:49:14,11,Firefighting,BARKING AND DAGENHAM,Barking
109,016842-09022017,2017-02-09 18:11:11+00:00,2017-02-09,18:11:11,18,Firefighting,BARKING AND DAGENHAM,Barking
110,017242-10022017,2017-02-10 17:06:38+00:00,2017-02-10,17:06:38,17,Firefighting,BARKING AND DAGENHAM,Barking
111,022202-22022017,2017-02-22 20:10:23+00:00,2017-02-22,20:10:23,20,Firefighting,BARKING AND DAGENHAM,Barking
112,024023-26022017,2017-02-26 02:05:06+00:00,2017-02-26,02:05:06,2,Firefighting,BARKING AND DAGENHAM,Barking
113,029938-12032017,2017-03-12 10:23:03+00:00,2017-03-12,10:23:03,10,Firefighting,BARKING AND DAGENHAM,Barking
114,036689-27032017,2017-03-27 16:56:56+00:00,2017-03-27,16:56:56,16,Firefighting,BARKING AND DAGENHAM,Barking
115,046957-16042017,2017-04-16 12:05:38+00:00,2017-04-16,12:05:38,12,Firefighting,BARKING AND DAGENHAM,Barking
116,050856-23042017,2017-04-23 23:16:37+00:00,2017-04-23,23:16:37,23,Firefighting,BARKING AND DAGENHAM,Barking
117,001262-03012017,2017-01-03 18:15:51+00:00,2017-01-03,18:15:51,18,Firefighting,BARKING AND DAGENHAM,Barking
118,007567-18012017,2017-01-18 20:43:06+00:00,2017-01-18,20:43:06,20,Firefighting,BARKING AND DAGENHAM,Dagenham
119,010250-24012017,2017-01-24 17:43:37+00:00,2017-01-24,17:43:37,17,Firefighting,BARKING AND DAGENHAM,Dagenham
120,027197-05032017,2017-03-05 15:02:57+00:00,2017-03-05,15:02:57,15,Firefighting,BARKING AND DAGENHAM,Dagenham
121,034450-22032017,2017-03-22 14:42:20+00:00,2017-03-22,14:42:20,14,Firefighting,BARKING AND DAGENHAM,Barking
122,038260-30032017,2017-03-30 20:43:45+00:00,2017-03-30,20:43:45,20,Firefighting,BARKING AND DAGENHAM,Dagenham
123,045811-13042017,2017-04-13 22:58:00+00:00,2017-04-13,22:58:00,22,Firefighting,BARKING AND DAGENHAM,Dagenham
124,000466-01012017,2017-01-01 22:18:41+00:00,2017-01-01,22:18:41,22,Firefighting,BARKING AND DAGENHAM,Dagenham
125,007150-17012017,2017-01-17 21:23:56+00:00,2017-01-17,21:23:56,21,Firefighting,BARKING AND DAGENHAM,Dagenham
126,008030-19012017,2017-01-19 22:44:54+00:00,2017-01-19,22:44:54,22,Firefighting,BARKING AND DAGENHAM,Dagenham
127,010463-25012017,2017-01-25 07:27:36+00:00,2017-01-25,07:27:36,7,Firefighting,BARKING AND DAGENHAM,Dagenham
128,029061-10032017,2017-03-10 09:36:59+00:00,2017-03-10,09:36:59,9,Firefighting,BARKING AND DAGENHAM,Dagenham
129,004125-10012017,2017-01-10 10:00:52+00:00,2017-01-10,10:00:52,10,Firefighting,BARKING AND DAGENHAM,Barking
130,006621-16012017,2017-01-16 17:32:16+00:00,2017-01-16,17:32:16,17,Firefighting,BARKING AND DAGENHAM,Barking
131,007449-18012017,2017-01-18 16:43:00+00:00,2017-01-18,16:43:00,16,Firefighting,BARKING AND DAGENHAM,Barking
132,044261-11042017,2017-04-11 01:25:12+00:00,2017-04-11,01:25:12,1,Firefighting,BARKING AND DAGENHAM,Barking
133,052548-27042017,2017-04-27 14:05:52+00:00,2017-04-27,14:05:52,14,Firefighting,BARKING AND DAGENHAM,Barking
134,001770-04012017,2017-01-04 20:39:29+00:00,2017-01-04,20:39:29,20,Firefighting,BARKING AND DAGENHAM,Barking
135,004689-11012017,2017-01-11 20:06:04+00:00,2017-01-11,20:06:04,20,Firefighting,BARKING AND DAGENHAM,Dagenham
136,045543-13042017,2017-04-13 14:07:19+00:00,2017-04-13,14:07:19,14,Firefighting,BARKING AND DAGENHAM,Barking
137,045879-14042017,2017-04-14 04:36:48+00:00,2017-04-14,04:36:48,4,Firefighting,BARKING AND DAGENHAM,Dagenham
138,049739-21042017,2017-04-21 20:02:07+00:00,2017-04-21,20:02:07,20,Firefighting,BARKING AND DAGENHAM,Barking
139,001868-05012017,2017-01-05 04:32:55+00:00,2017-01-05,04:32:55,4,Firefighting,BARKING AND DAGENHAM,Dagenham
140,031801-16032017,2017-03-16 17:34:10+00:00,2017-03-16,17:34:10,17,Firefighting,BARKING AND DAGENHAM,Dagenham
141,026800-04032017,2017-03-04 15:46:25+00:00,2017-03-04,15:46:25,15,Firefighting,BARKING AND DAGENHAM,Dagenham
142,040387-04042017,2017-04-04 02:02:43+00:00,2017-04-04,02:02:43,2,Firefighting,BARKING AND DAGENHAM,Dagenham
143,000285-01012017,2017-01-01 13:33:38+00:00,2017-01-01,13:33:38,13,Firefighting,BARKING AND DAGENHAM,Barking
144,007168-17012017,2017-01-17 22:03:16+00:00,2017-01-17,22:03:16,22,Firefighting,BARKING AND DAGENHAM,Barking
145,017016-10022017,2017-02-10 03:26:32+00:00,2017-02-10,03:26:32,3,Firefighting,BARKING AND DAGENHAM,Barking
146,021109-19022017,2017-02-19 18:39:06+00:00,2017-02-19,18:39:06,18,Firefighting,BARKING AND DAGENHAM,Barking
147,043408-09042017,2017-04-09 19:13:16+00:00,2017-04-09,19:13:16,19,Firefighting,BARKING AND DAGENHAM,Barking
148,043980-10042017,2017-04-10 15:29:46+00:00,2017-04-10,15:29:46,15,Firefighting,BARKING AND DAGENHAM,Barking
149,045476-13042017,2017-04-13 11:22:29+00:00,2017-04-13,11:22:29,11,Firefighting,BARKING AND DAGENHAM,Barking
150,046176-14042017,2017-04-14 19:04:17+00:00,2017-04-14,19:04:17,19,Firefighting,BARKING AND DAGENHAM,Barking
151,048209-18042017,2017-04-18 22:51:52+00:00,2017-04-18,22:51:52,22,Firefighting,BARKING AND DAGENHAM,Barking
152,049140-20042017,2017-04-20 15:55:38+00:00,2017-04-20,15:55:38,15,Firefighting,BARKING AND DAGENHAM,Barking
153,050156-22042017,2017-04-22 17:57:50+00:00,2017-04-22,17:57:50,17,Firefighting,BARKING AND DAGENHAM,Dagenham
154,000030-01012017,2017-01-01 00:33:41+00:00,2017-01-01,00:33:41,0,Firefighting,BARKING AND DAGENHAM,Dagenham
155,004316-10012017,2017-01-10 19:36:51+00:00,2017-01-10,19:36:51,19,Firefighting,BARKING AND DAGENHAM,Dagenham
156,026445-03032017,2017-03-03 19:19:53+00:00,2017-03-03,19:19:53,19,Firefighting,BARKING AND DAGENHAM,Dagenham
157,027688-06032017,2017-03-06 20:07:43+00:00,2017-03-06,20:07:43,20,Firefighting,BARKING AND DAGENHAM,Dagenham
158,027696-06032017,2017-03-06 20:33:58+00:00,2017-03-06,20:33:58,20,Firefighting,BARKING AND DAGENHAM,Dagenham
159,037076-28032017,2017-03-28 12:13:11+00:00,2017-03-28,12:13:11,12,Firefighting,BARKING AND DAGENHAM,Dagenham
160,039887-03042017,2017-04-03 05:52:09+00:00,2017-04-03,05:52:09,5,Firefighting,BARKING AND DAGENHAM,Dagenham
161,044120-10042017,2017-04-10 19:48:58+00:00,2017-04-10,19:48:58,19,Firefighting,BARKING AND DAGENHAM,Dagenham
162,045983-14042017,2017-04-14 11:22:11+00:00,2017-04-14,11:22:11,11,Firefighting,BARKING AND DAGENHAM,Dagenham
163,027386-06032017,2017-03-06 01:15:06+00:00,2017-03-06,01:15:06,1,Firefighting,BARKING AND DAGENHAM,Dagenham
164,044210-10042017,2017-04-10 22:20:32+00:00,2017-04-10,22:20:32,22,Firefighting,BARKING AND DAGENHAM,Dagenham
165,050873-24042017,2017-04-24 00:16:43+00:00,2017-04-24,00:16:43,0,Firefighting,BARKING AND DAGENHAM,Dagenham
166,015639-06022017,2017-02-06 21:48:22+00:00,2017-02-06,21:48:22,21,Firefighting,BARKING AND DAGENHAM,Dagenham
167,020057-17022017,2017-02-17 12:24:50+00:00,2017-02-17,12:24:50,12,Firefighting,BARKING AND DAGENHAM,Dagenham
168,024163-26022017,2017-02-26 13:22:53+00:00,2017-02-26,13:22:53,13,Firefighting,BARKING AND DAGENHAM,Dagenham
169,031073-14032017,2017-03-14 20:24:57+00:00,2017-03-14,20:24:57,20,Firefighting,BARKING AND DAGENHAM,Dagenham
170,040809-05042017,2017-04-05 01:27:53+00:00,2017-04-05,01:27:53,1,Firefighting,BARKING AND DAGENHAM,Dagenham
171,043006-09042017,2017-04-09 09:31:48+00:00,2017-04-09,09:31:48,9,Firefighting,BARKING AND DAGENHAM,Dagenham
172,011642-27012017,2017-01-27 18:20:38+00:00,2017-01-27,18:20:38,18,Firefighting,BARNET,Southgate
173,007111-17012017,2017-01-17 19:48:08+00:00,2017-01-17,19:48:08,19,Firefighting,BARNET,Mill Hill
174,010771-25012017,2017-01-25 20:35:49+00:00,2017-01-25,20:35:49,20,Firefighting,BARNET,Mill Hill
175,011231-26012017,2017-01-26 22:51:36+00:00,2017-01-26,22:51:36,22,Firefighting,BARNET,Mill Hill
176,013228-31012017,2017-01-31 18:47:13+00:00,2017-01-31,18:47:13,18,Firefighting,BARNET,Mill Hill
177,025555-01032017,2017-03-01 20:58:37+00:00,2017-03-01,20:58:37,20,Firefighting,BARNET,Mill Hill
178,032237-17032017,2017-03-17 15:34:55+00:00,2017-03-17,15:34:55,15,Firefighting,BARNET,Mill Hill
179,034505-22032017,2017-03-22 17:06:31+00:00,2017-03-22,17:06:31,17,Firefighting,BARNET,Mill Hill
180,044883-12042017,2017-04-12 08:45:11+00:00,2017-04-12,08:45:11,8,Firefighting,BARNET,Mill Hill
181,011783-27012017,2017-01-27 23:58:25+00:00,2017-01-27,23:58:25,23,Firefighting,BARNET,West Hampstead
182,032151-17032017,2017-03-17 12:40:51+00:00,2017-03-17,12:40:51,12,Firefighting,BARNET,West Hampstead
183,034709-23032017,2017-03-23 06:33:42+00:00,2017-03-23,06:33:42,6,Firefighting,BARNET,Hendon
184,036636-27032017,2017-03-27 14:41:16+00:00,2017-03-27,14:41:16,14,Firefighting,BARNET,West Hampstead
185,042901-09042017,2017-04-09 01:08:32+00:00,2017-04-09,01:08:32,1,Firefighting,BARNET,West Hampstead
186,047419-17042017,2017-04-17 12:43:31+00:00,2017-04-17,12:43:31,12,Firefighting,BARNET,West Hampstead
187,049477-21042017,2017-04-21 09:26:09+00:00,2017-04-21,09:26:09,9,Firefighting,BARNET,West Hampstead
188,049907-22042017,2017-04-22 09:09:44+00:00,2017-04-22,09:09:44,9,Firefighting,BARNET,Hendon
189,001457-04012017,2017-01-04 07:22:35+00:00,2017-01-04,07:22:35,7,Firefighting,BARNET,Hendon
190,005483-13012017,2017-01-13 18:48:36+00:00,2017-01-13,18:48:36,18,Firefighting,BARNET,Mill Hill
191,013610-01022017,2017-02-01 17:04:55+00:00,2017-02-01,17:04:55,17,Firefighting,BARNET,Mill Hill
192,016017-07022017,2017-02-07 18:01:59+00:00,2017-02-07,18:01:59,18,Firefighting,BARNET,Mill Hill
193,016712-09022017,2017-02-09 12:16:05+00:00,2017-02-09,12:16:05,12,Firefighting,BARNET,Mill Hill
194,017817-11022017,2017-02-11 20:00:04+00:00,2017-02-11,20:00:04,20,Firefighting,BARNET,Mill Hill
195,024845-27022017,2017-02-27 22:09:46+00:00,2017-02-27,22:09:46,22,Firefighting,BARNET,Mill Hill
196,032037-17032017,2017-03-17 04:54:33+00:00,2017-03-17,04:54:33,4,Firefighting,BARNET,Mill Hill
197,037039-28032017,2017-03-28 10:35:48+00:00,2017-03-28,10:35:48,10,Firefighting,BARNET,Mill Hill
198,015078-05022017,2017-02-05 12:24:16+00:00,2017-02-05,12:24:16,12,Firefighting,BARNET,Finchley
199,016787-09022017,2017-02-09 15:36:13+00:00,2017-02-09,15:36:13,15,Firefighting,BARNET,Finchley
200,031954-16032017,2017-03-16 23:33:03+00:00,2017-03-16,23:33:03,23,Firefighting,BARNET,Finchley
201,042081-07042017,2017-04-07 17:58:44+00:00,2017-04-07,17:58:44,17,Firefighting,BARNET,Finchley
202,042566-08042017,2017-04-08 14:05:02+00:00,2017-04-08,14:05:02,14,Firefighting,BARNET,Finchley
203,048705-19042017,2017-04-19 20:17:05+00:00,2017-04-19,20:17:05,20,Firefighting,BARNET,Southgate
204,006267-15012017,2017-01-15 19:29:54+00:00,2017-01-15,19:29:54,19,Firefighting,BARNET,Barnet
205,023472-24022017,2017-02-24 19:39:31+00:00,2017-02-24,19:39:31,19,Firefighting,BARNET,Barnet
206,025301-01032017,2017-03-01 08:31:15+00:00,2017-03-01,08:31:15,8,Firefighting,BARNET,Barnet
207,038268-30032017,2017-03-30 21:07:51+00:00,2017-03-30,21:07:51,21,Firefighting,BARNET,Barnet
208,045750-13042017,2017-04-13 20:37:17+00:00,2017-04-13,20:37:17,20,Firefighting,BARNET,Barnet
209,006322-15012017,2017-01-15 21:39:53+00:00,2017-01-15,21:39:53,21,Firefighting,BARNET,Finchley
210,007967-19012017,2017-01-19 19:10:04+00:00,2017-01-19,19:10:04,19,Firefighting,BARNET,Finchley
211,011844-28012017,2017-01-28 05:26:25+00:00,2017-01-28,05:26:25,5,Firefighting,BARNET,Finchley
212,031015-14032017,2017-03-14 19:08:03+00:00,2017-03-14,19:08:03,19,Firefighting,BARNET,Finchley
213,032951-18032017,2017-03-18 23:42:02+00:00,2017-03-18,23:42:02,23,Firefighting,BARNET,Finchley
214,035421-24032017,2017-03-24 19:28:23+00:00,2017-03-24,19:28:23,19,Firefighting,BARNET,Finchley
215,043593-09042017,2017-04-09 23:38:26+00:00,2017-04-09,23:38:26,23,Firefighting,BARNET,Finchley
216,047802-18042017,2017-04-18 10:35:34+00:00,2017-04-18,10:35:34,10,Firefighting,BARNET,Finchley
217,000757-02012017,2017-01-02 14:07:03+00:00,2017-01-02,14:07:03,14,Firefighting,BARNET,Mill Hill
